Record_ID_Number,ProjectName,SampleNumber,Taxon
13598,Barataria Bay Fall 2006,BBF-2006-064,No species collected
13603,Barataria Bay Fall 2006,BBF-2006-065,Alpheus sp.
13550,Barataria Bay Fall 2006,BBF-2006-065,Callinectes sapidus
13599,Barataria Bay Fall 2006,BBF-2006-065,Callinectes sp.
13602,Barataria Bay Fall 2006,BBF-2006-065,Palaemonetes pugio
13600,Barataria Bay Fall 2006,BBF-2006-065,Panopeus herbstii
13601,Barataria Bay Fall 2006,BBF-2006-065,Pinnotheres maculatus
13549,Barataria Bay Fall 2006,BBF-2006-065,Sesarma reticulatum
13606,Barataria Bay Fall 2006,BBF-2006-066,Alpheus heterochaelis
13605,Barataria Bay Fall 2006,BBF-2006-066,Callinectes sapidus
13611,Barataria Bay Fall 2006,BBF-2006-066,Callinectes sp.
13604,Barataria Bay Fall 2006,BBF-2006-066,Clibanarius vittatus
13612,Barataria Bay Fall 2006,BBF-2006-066,Palaemonetes pugio
13609,Barataria Bay Fall 2006,BBF-2006-066,Palaemonetes sp.
13608,Barataria Bay Fall 2006,BBF-2006-066,Palaemonetes vulgaris
13610,Barataria Bay Fall 2006,BBF-2006-066,Panopeidae
13607,Barataria Bay Fall 2006,BBF-2006-066,Panopeus herbstii
13613,Barataria Bay Fall 2006,BBF-2006-066,Pinnotheres maculatus
13615,Barataria Bay Fall 2006,BBF-2006-067,Callinectes sapidus
13616,Barataria Bay Fall 2006,BBF-2006-067,Palaemonetes pugio
13617,Barataria Bay Fall 2006,BBF-2006-067,Palaemonetes sp.
13618,Barataria Bay Fall 2006,BBF-2006-067,Palaemonetes vulgaris
13614,Barataria Bay Fall 2006,BBF-2006-067,Sesarma reticulatum
13619,Barataria Bay Fall 2006,BBF-2006-068,Callinectes sapidus
13620,Barataria Bay Fall 2006,BBF-2006-069,Callinectes sapidus
13621,Barataria Bay Fall 2006,BBF-2006-069,Callinectes sp.
13553,Barataria Bay Fall 2006,BBF-2006-070,Callinectes sapidus
13554,Barataria Bay Fall 2006,BBF-2006-070,Callinectes sp.
13556,Barataria Bay Fall 2006,BBF-2006-070,Palaemonetes intermedius
13555,Barataria Bay Fall 2006,BBF-2006-070,Palaemonetes pugio
13557,Barataria Bay Fall 2006,BBF-2006-070,Palaemonetes sp.
13558,Barataria Bay Fall 2006,BBF-2006-070,Palaemonetes vulgaris
13551,Barataria Bay Fall 2006,BBF-2006-070,Sesarma reticulatum
13552,Barataria Bay Fall 2006,BBF-2006-070,Uca sp.
13562,Barataria Bay Fall 2006,BBF-2006-071,Callinectes sapidus
13567,Barataria Bay Fall 2006,BBF-2006-071,Callinectes sp.
13564,Barataria Bay Fall 2006,BBF-2006-071,Clibanarius vittatus
13559,Barataria Bay Fall 2006,BBF-2006-071,Palaemonetes intermedius
13560,Barataria Bay Fall 2006,BBF-2006-071,Palaemonetes pugio
13561,Barataria Bay Fall 2006,BBF-2006-071,Palaemonetes sp.
13563,Barataria Bay Fall 2006,BBF-2006-071,Panopeus herbstii
13565,Barataria Bay Fall 2006,BBF-2006-071,Uca rapax
13566,Barataria Bay Fall 2006,BBF-2006-071,Uca sp.
13568,Barataria Bay Fall 2006,BBF-2006-072,Callinectes sapidus
13569,Barataria Bay Fall 2006,BBF-2006-072,Callinectes sp.
13574,Barataria Bay Fall 2006,BBF-2006-072,Latreutes parvulus
13571,Barataria Bay Fall 2006,BBF-2006-072,Palaemonetes pugio
13572,Barataria Bay Fall 2006,BBF-2006-072,Palaemonetes sp.
13573,Barataria Bay Fall 2006,BBF-2006-072,Palaemonetes vulgaris
13570,Barataria Bay Fall 2006,BBF-2006-072,Sesarma reticulatum
13577,Barataria Bay Fall 2006,BBF-2006-073,Callinectes sapidus
13578,Barataria Bay Fall 2006,BBF-2006-073,Callinectes sp.
13575,Barataria Bay Fall 2006,BBF-2006-073,Palaemonetes pugio
13576,Barataria Bay Fall 2006,BBF-2006-073,Palaemonetes sp.
13579,Barataria Bay Fall 2006,BBF-2006-073,Panopeus herbstii
13580,Barataria Bay Fall 2006,BBF-2006-073,Sesarma reticulatum
13583,Barataria Bay Fall 2006,BBF-2006-074,Callinectes sapidus
13584,Barataria Bay Fall 2006,BBF-2006-074,Palaemonetes pugio
13581,Barataria Bay Fall 2006,BBF-2006-074,Sesarma reticulatum
13582,Barataria Bay Fall 2006,BBF-2006-074,Uca sp.
13705,Barataria Bay Fall 2006,BBF-2006-075,Callinectes sapidus
13587,Barataria Bay Fall 2006,BBF-2006-075,Pagurus longicarpus
13586,Barataria Bay Fall 2006,BBF-2006-075,Palaemonetes sp.
13585,Barataria Bay Fall 2006,BBF-2006-075,Palaemonetes vulgaris
13588,Barataria Bay Fall 2006,BBF-2006-075,Panopeus herbstii
13596,Barataria Bay Fall 2006,BBF-2006-076,Acetes americanus
13591,Barataria Bay Fall 2006,BBF-2006-076,Callinectes sapidus
13589,Barataria Bay Fall 2006,BBF-2006-076,Clibanarius vittatus
13597,Barataria Bay Fall 2006,BBF-2006-076,Leander tenuicornis
13595,Barataria Bay Fall 2006,BBF-2006-076,Palaemonetes intermedius
13593,Barataria Bay Fall 2006,BBF-2006-076,Palaemonetes pugio
13594,Barataria Bay Fall 2006,BBF-2006-076,Palaemonetes sp.
13590,Barataria Bay Fall 2006,BBF-2006-076,Sesarma reticulatum
13592,Barataria Bay Fall 2006,BBF-2006-076,Uca sp.
13646,Barataria Bay Fall 2006,BBF-2006-077,Alpheus heterochaelis
13648,Barataria Bay Fall 2006,BBF-2006-077,Callinectes sapidus
13650,Barataria Bay Fall 2006,BBF-2006-077,Callinectes sp.
13651,Barataria Bay Fall 2006,BBF-2006-077,Dyspanopeus texana
13645,Barataria Bay Fall 2006,BBF-2006-077,Menippe mercenaria/adinia
13652,Barataria Bay Fall 2006,BBF-2006-077,Palaemonetes pugio
13647,Barataria Bay Fall 2006,BBF-2006-077,Panopeus herbstii
13649,Barataria Bay Fall 2006,BBF-2006-077,Rhithropanopeus harrisii
13658,Barataria Bay Fall 2006,BBF-2006-078,Alpheus heterochaelis
13653,Barataria Bay Fall 2006,BBF-2006-078,Callinectes sapidus
13656,Barataria Bay Fall 2006,BBF-2006-078,Callinectes sp.
13657,Barataria Bay Fall 2006,BBF-2006-078,Palaemonetes pugio
13659,Barataria Bay Fall 2006,BBF-2006-078,Palaemonetes sp.
13655,Barataria Bay Fall 2006,BBF-2006-078,Sesarma reticulatum
13654,Barataria Bay Fall 2006,BBF-2006-078,Uca sp.
13714,Barataria Bay Fall 2006,BBF-2006-079,No species collected
13706,Barataria Bay Fall 2006,BBF-2006-080,Armases cinereum
13708,Barataria Bay Fall 2006,BBF-2006-080,Callinectes sapidus
13707,Barataria Bay Fall 2006,BBF-2006-080,Clibanarius vittatus
13710,Barataria Bay Fall 2006,BBF-2006-080,Palaemonetes intermedius
13711,Barataria Bay Fall 2006,BBF-2006-080,Palaemonetes pugio
13712,Barataria Bay Fall 2006,BBF-2006-080,Palaemonetes sp.
13709,Barataria Bay Fall 2006,BBF-2006-080,Uca pugnax
13661,Barataria Bay Fall 2006,BBF-2006-081,Callinectes sapidus
13662,Barataria Bay Fall 2006,BBF-2006-081,Callinectes sp.
13660,Barataria Bay Fall 2006,BBF-2006-081,Uca sp.
13715,Barataria Bay Fall 2006,BBF-2006-082,No species collected
13664,Barataria Bay Fall 2006,BBF-2006-083,Callinectes sapidus
13665,Barataria Bay Fall 2006,BBF-2006-083,Callinectes sp.
13666,Barataria Bay Fall 2006,BBF-2006-083,Palaemonetes pugio
13667,Barataria Bay Fall 2006,BBF-2006-083,Palaemonetes sp.
13663,Barataria Bay Fall 2006,BBF-2006-083,Sesarma reticulatum
13670,Barataria Bay Fall 2006,BBF-2006-084,Callinectes sapidus
13669,Barataria Bay Fall 2006,BBF-2006-084,Callinectes sp.
13668,Barataria Bay Fall 2006,BBF-2006-084,Clibanarius vittatus
13671,Barataria Bay Fall 2006,BBF-2006-084,Rhithropanopeus harrisii
13672,Barataria Bay Fall 2006,BBF-2006-085,Acetes americanus
13673,Barataria Bay Fall 2006,BBF-2006-085,Callinectes sapidus
13674,Barataria Bay Fall 2006,BBF-2006-085,Callinectes sp.
13716,Barataria Bay Fall 2006,BBF-2006-086,No species collected
13675,Barataria Bay Fall 2006,BBF-2006-087,Callinectes sapidus
13676,Barataria Bay Fall 2006,BBF-2006-088,Callinectes sp.
13678,Barataria Bay Fall 2006,BBF-2006-088,Palaemonetes pugio
13677,Barataria Bay Fall 2006,BBF-2006-088,Panopeus herbstii
13679,Barataria Bay Fall 2006,BBF-2006-089,Callinectes sapidus
13680,Barataria Bay Fall 2006,BBF-2006-089,Callinectes sp.
13682,Barataria Bay Fall 2006,BBF-2006-090,Callinectes sapidus
13681,Barataria Bay Fall 2006,BBF-2006-090,Callinectes sp.
13684,Barataria Bay Fall 2006,BBF-2006-090,Palaemonetes sp.
13683,Barataria Bay Fall 2006,BBF-2006-090,Panopeidae
13685,Barataria Bay Fall 2006,BBF-2006-091,Callinectes sapidus
13686,Barataria Bay Fall 2006,BBF-2006-091,Callinectes sp.
13623,Barataria Bay Fall 2006,BBF-2006-092,Alpheus heterochaelis
13622,Barataria Bay Fall 2006,BBF-2006-092,Callinectes sapidus
13687,Barataria Bay Fall 2006,BBF-2006-092,Callinectes sp.
13624,Barataria Bay Fall 2006,BBF-2006-092,Clibanarius vittatus
13625,Barataria Bay Fall 2006,BBF-2006-092,Rhithropanopeus harrisii
13626,Barataria Bay Fall 2006,BBF-2006-093,Acetes americanus
13627,Barataria Bay Fall 2006,BBF-2006-093,Callinectes sapidus
13628,Barataria Bay Fall 2006,BBF-2006-093,Callinectes sp.
13632,Barataria Bay Fall 2006,BBF-2006-094,Alpheus heterochaelis
13629,Barataria Bay Fall 2006,BBF-2006-094,Callinectes sapidus
13630,Barataria Bay Fall 2006,BBF-2006-094,Callinectes sp.
13713,Barataria Bay Fall 2006,BBF-2006-094,Micropanope sculptipes
13631,Barataria Bay Fall 2006,BBF-2006-094,Panopeidae
13634,Barataria Bay Fall 2006,BBF-2006-095,Callinectes sapidus
13635,Barataria Bay Fall 2006,BBF-2006-095,Callinectes sp.
13633,Barataria Bay Fall 2006,BBF-2006-095,Clibanarius vittatus
13639,Barataria Bay Fall 2006,BBF-2006-096,Acetes americanus
13636,Barataria Bay Fall 2006,BBF-2006-096,Callinectes sapidus
13637,Barataria Bay Fall 2006,BBF-2006-096,Callinectes sp.
13640,Barataria Bay Fall 2006,BBF-2006-096,Palaemonetes sp.
13638,Barataria Bay Fall 2006,BBF-2006-096,Rhithropanopeus harrisii
13643,Barataria Bay Fall 2006,BBF-2006-097,Acetes americanus
13641,Barataria Bay Fall 2006,BBF-2006-097,Alpheus heterochaelis
13642,Barataria Bay Fall 2006,BBF-2006-097,Callinectes sp.
13690,Barataria Bay Fall 2006,BBF-2006-098,Acetes americanus
13644,Barataria Bay Fall 2006,BBF-2006-098,Alpheus heterochaelis
13688,Barataria Bay Fall 2006,BBF-2006-098,Callinectes sapidus
13689,Barataria Bay Fall 2006,BBF-2006-098,Callinectes sp.
13695,Barataria Bay Fall 2006,BBF-2006-099,Callinectes sapidus
13693,Barataria Bay Fall 2006,BBF-2006-099,Callinectes sp.
13691,Barataria Bay Fall 2006,BBF-2006-099,Clibanarius vittatus
13694,Barataria Bay Fall 2006,BBF-2006-099,Latreutes parvulus
13692,Barataria Bay Fall 2006,BBF-2006-099,Rhithropanopeus harrisii
13698,Barataria Bay Fall 2006,BBF-2006-100,Acetes americanus
13696,Barataria Bay Fall 2006,BBF-2006-100,Callinectes sapidus
13697,Barataria Bay Fall 2006,BBF-2006-100,Callinectes sp.
13699,Barataria Bay Fall 2006,BBF-2006-100,Palaemonetes pugio
13700,Barataria Bay Fall 2006,BBF-2006-101,Callinectes sp.
13701,Barataria Bay Fall 2006,BBF-2006-102,Callinectes sapidus
13702,Barataria Bay Fall 2006,BBF-2006-102,Palaemonetes vulgaris
13703,Barataria Bay Fall 2006,BBF-2006-103,Callinectes sapidus
13704,Barataria Bay Fall 2006,BBF-2006-103,Callinectes sp.
13143,Barataria Bay Spring 2006,BBS-2006-001,Callinectes sapidus
13147,Barataria Bay Spring 2006,BBS-2006-001,Palaemonetes pugio
13144,Barataria Bay Spring 2006,BBS-2006-001,Panopeus herbstii
13146,Barataria Bay Spring 2006,BBS-2006-001,Sesarma reticulatum
13145,Barataria Bay Spring 2006,BBS-2006-001,Uca sp.
13148,Barataria Bay Spring 2006,BBS-2006-002,No species collected
13149,Barataria Bay Spring 2006,BBS-2006-003,No species collected
13150,Barataria Bay Spring 2006,BBS-2006-004,Callinectes sapidus
13154,Barataria Bay Spring 2006,BBS-2006-004,Palaemonetes intermedius
13153,Barataria Bay Spring 2006,BBS-2006-004,Palaemonetes pugio
13155,Barataria Bay Spring 2006,BBS-2006-004,Palaemonetes sp.
13151,Barataria Bay Spring 2006,BBS-2006-004,Panopeus herbstii
13152,Barataria Bay Spring 2006,BBS-2006-004,Rhithropanopeus harrisii
13156,Barataria Bay Spring 2006,BBS-2006-005,Callinectes sapidus
13157,Barataria Bay Spring 2006,BBS-2006-005,Panopeus herbstii
13158,Barataria Bay Spring 2006,BBS-2006-005,Rhithropanopeus harrisii
13161,Barataria Bay Spring 2006,BBS-2006-006,Callinectes sapidus
13159,Barataria Bay Spring 2006,BBS-2006-006,Clibanarius vittatus
13160,Barataria Bay Spring 2006,BBS-2006-006,Palaemonetes sp.
13162,Barataria Bay Spring 2006,BBS-2006-006,Rhithropanopeus harrisii
13163,Barataria Bay Spring 2006,BBS-2006-007,Diogenidae
13164,Barataria Bay Spring 2006,BBS-2006-008,No species collected
13165,Barataria Bay Spring 2006,BBS-2006-009,Palaemonetes sp.
13166,Barataria Bay Spring 2006,BBS-2006-010,Callinectes sapidus
13169,Barataria Bay Spring 2006,BBS-2006-010,Palaemonetes pugio
13170,Barataria Bay Spring 2006,BBS-2006-010,Palaemonetes sp.
13168,Barataria Bay Spring 2006,BBS-2006-010,Panopeus herbstii
13167,Barataria Bay Spring 2006,BBS-2006-010,Sesarma reticulatum
13171,Barataria Bay Spring 2006,BBS-2006-011,No species collected
13172,Barataria Bay Spring 2006,BBS-2006-012,Rhithropanopeus harrisii
13175,Barataria Bay Spring 2006,BBS-2006-013,Alpheus heterochaelis
13173,Barataria Bay Spring 2006,BBS-2006-013,Callinectes sapidus
13176,Barataria Bay Spring 2006,BBS-2006-013,Palaemonetes intermedius
13177,Barataria Bay Spring 2006,BBS-2006-013,Palaemonetes sp.
13174,Barataria Bay Spring 2006,BBS-2006-013,Panopeus herbstii
13178,Barataria Bay Spring 2006,BBS-2006-014,Callinectes sapidus
13181,Barataria Bay Spring 2006,BBS-2006-014,Palaemonetes sp.
13180,Barataria Bay Spring 2006,BBS-2006-014,Panopeus herbstii
13179,Barataria Bay Spring 2006,BBS-2006-014,Uca sp.
13182,Barataria Bay Spring 2006,BBS-2006-015,No species collected
13183,Barataria Bay Spring 2006,BBS-2006-016,Callinectes similis
13184,Barataria Bay Spring 2006,BBS-2006-016,Lucifer faxoni
13185,Barataria Bay Spring 2006,BBS-2006-016,Palaemonetes sp.
13186,Barataria Bay Spring 2006,BBS-2006-017,No species collected
13187,Barataria Bay Spring 2006,BBS-2006-018,Callinectes sapidus
13188,Barataria Bay Spring 2006,BBS-2006-018,Callinectes similis
13190,Barataria Bay Spring 2006,BBS-2006-018,Palaemonetes pugio
13189,Barataria Bay Spring 2006,BBS-2006-018,Panopeus herbstii
13191,Barataria Bay Spring 2006,BBS-2006-019,Callinectes sapidus
13195,Barataria Bay Spring 2006,BBS-2006-020,Armases cinereum
13196,Barataria Bay Spring 2006,BBS-2006-020,Callinectes sapidus
13192,Barataria Bay Spring 2006,BBS-2006-020,Palaemonetes sp.
13194,Barataria Bay Spring 2006,BBS-2006-020,Panopeus herbstii
13193,Barataria Bay Spring 2006,BBS-2006-020,Uca sp.
13197,Barataria Bay Spring 2006,BBS-2006-021,Callinectes sapidus
13201,Barataria Bay Spring 2006,BBS-2006-021,Clibanarius vittatus
13200,Barataria Bay Spring 2006,BBS-2006-021,Palaemonetes pugio
13199,Barataria Bay Spring 2006,BBS-2006-021,Palaemonetes sp.
13198,Barataria Bay Spring 2006,BBS-2006-021,Rhithropanopeus harrisii
13203,Barataria Bay Spring 2006,BBS-2006-022,Callinectes sapidus
13205,Barataria Bay Spring 2006,BBS-2006-022,Palaemonetes intermedius
13204,Barataria Bay Spring 2006,BBS-2006-022,Panopeidae
13202,Barataria Bay Spring 2006,BBS-2006-022,Uca sp.
13206,Barataria Bay Spring 2006,BBS-2006-023,No species collected
13207,Barataria Bay Spring 2006,BBS-2006-024,No species collected
13208,Barataria Bay Spring 2006,BBS-2006-025,No species collected
13209,Barataria Bay Spring 2006,BBS-2006-026,Callinectes sapidus
13212,Barataria Bay Spring 2006,BBS-2006-027,Armases cinereum
13210,Barataria Bay Spring 2006,BBS-2006-027,Callinectes sapidus
13215,Barataria Bay Spring 2006,BBS-2006-027,Palaemonetes intermedius
13214,Barataria Bay Spring 2006,BBS-2006-027,Palaemonetes pugio
13216,Barataria Bay Spring 2006,BBS-2006-027,Palaemonetes sp.
13211,Barataria Bay Spring 2006,BBS-2006-027,Sesarma reticulatum
13213,Barataria Bay Spring 2006,BBS-2006-027,Uca sp.
13217,Barataria Bay Spring 2006,BBS-2006-028,Rhithropanopeus harrisii
13218,Barataria Bay Spring 2006,BBS-2006-029,Callinectes sapidus
13221,Barataria Bay Spring 2006,BBS-2006-029,Palaemonetes intermedius
13220,Barataria Bay Spring 2006,BBS-2006-029,Palaemonetes pugio
13222,Barataria Bay Spring 2006,BBS-2006-029,Palaemonetes sp.
13219,Barataria Bay Spring 2006,BBS-2006-029,Uca sp.
13223,Barataria Bay Spring 2006,BBS-2006-030,No species collected
13224,Barataria Bay Spring 2006,BBS-2006-031,No species collected
13225,Barataria Bay Spring 2006,BBS-2006-032,Callinectes similis
13227,Barataria Bay Spring 2006,BBS-2006-033,Clibanarius vittatus
13228,Barataria Bay Spring 2006,BBS-2006-033,Palaemonetes pugio
13226,Barataria Bay Spring 2006,BBS-2006-033,Rhithropanopeus harrisii
13229,Barataria Bay Spring 2006,BBS-2006-034,No species collected
13232,Barataria Bay Spring 2006,BBS-2006-035,Alpheus heterochaelis
13230,Barataria Bay Spring 2006,BBS-2006-035,Palaemonetes pugio
13231,Barataria Bay Spring 2006,BBS-2006-035,Palaemonetes sp.
13236,Barataria Bay Spring 2006,BBS-2006-036,Armases cinereum
13233,Barataria Bay Spring 2006,BBS-2006-036,Callinectes sapidus
13237,Barataria Bay Spring 2006,BBS-2006-036,Clibanarius vittatus
13238,Barataria Bay Spring 2006,BBS-2006-036,Palaemonetes pugio
13235,Barataria Bay Spring 2006,BBS-2006-036,Panopeus herbstii
13234,Barataria Bay Spring 2006,BBS-2006-036,Uca sp.
13240,Barataria Bay Spring 2006,BBS-2006-037,Alpheus heterochaelis
13239,Barataria Bay Spring 2006,BBS-2006-037,Palaemonetes sp.
13241,Barataria Bay Spring 2006,BBS-2006-038,Callinectes similis
13242,Barataria Bay Spring 2006,BBS-2006-038,Palaemonetes pugio
13243,Barataria Bay Spring 2006,BBS-2006-039,Callinectes sapidus
13245,Barataria Bay Spring 2006,BBS-2006-039,Clibanarius vittatus
13246,Barataria Bay Spring 2006,BBS-2006-039,Palaemonetes pugio
13247,Barataria Bay Spring 2006,BBS-2006-039,Palaemonetes sp.
13244,Barataria Bay Spring 2006,BBS-2006-039,Uca sp.
13248,Barataria Bay Spring 2006,BBS-2006-040,Callinectes sapidus
13249,Barataria Bay Spring 2006,BBS-2006-040,Palaemonetes sp.
14225,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-01,Callinectes sapidus
14224,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-01,Palaemonetes pugio
14228,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-01,Palaemonetes sp.
14227,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-01,Palaemonetes vulgaris
14086,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-01,Panopeidae
14226,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-01,Sesarma reticulatum
14229,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-01,Uca sp.
14230,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-02,Callinectes sapidus
14235,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-02,Callinectes sp.
14232,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-02,Palaemonetes sp.
14233,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-02,Rhithropanopeus harrisii
14231,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-02,Sesarma reticulatum
14234,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-02,Uca sp.
14237,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-03,Callinectes sapidus
14236,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-03,Palaemonetes pugio
14238,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-03,Palaemonetes sp.
14239,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-03,Uca sp.
14240,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-04,Callinectes sapidus
14241,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-04,Sesarma reticulatum
14242,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-05,Callinectes sapidus
14243,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-05,Callinectes sp.
14244,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-06,Callinectes sapidus
14247,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-06,Callinectes similis
14245,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-06,Clibanarius vittatus
14248,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-06,Paguridae
14246,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-06,Rhithropanopeus harrisii
14250,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-07,Alpheus heterochaelis
14249,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-07,Callinectes sapidus
14252,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-07,Callinectes similis
14251,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-07,Rhithropanopeus harrisii
14253,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-08,Callinectes sapidus
14255,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-09,Callinectes sapidus
14254,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-09,Palaemonetes pugio
14256,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-09,Palaemonetes sp.
14258,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-10,Callinectes sapidus
14257,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-10,Palaemonetes pugio
14260,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-10,Palaemonetes sp.
14259,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-10,Sesarma reticulatum
14262,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-11,Callinectes sapidus
14266,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-11,Callinectes sp.
14261,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-11,Palaemonetes pugio
14264,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-11,Palaemonetes sp.
14263,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-11,Sesarma reticulatum
14265,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-11,Uca sp.
14268,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-12,Callinectes sapidus
14271,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-12,Callinectes sp.
14267,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-12,Palaemonetes pugio
14269,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-12,Palaemonetes sp.
14270,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-12,Uca sp.
14273,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-13,Callinectes sapidus
14277,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-13,Callinectes sp.
14272,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-13,Palaemonetes pugio
14275,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-13,Palaemonetes sp.
14274,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-13,Palaemonetes vulgaris
14276,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-13,Uca sp.
14170,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-14,Callinectes sapidus
14173,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-14,Macrobrachium ohione
14169,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-14,Palaemonetes pugio
14171,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-14,Rhithropanopeus harrisii
14172,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-14,Uca sp.
14174,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-15,Callinectes sapidus
14177,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-15,Callinectes sp.
14175,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-15,Palaemonetes sp.
14176,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-15,Uca sp.
14179,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-16,Callinectes sapidus
14178,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-16,Palaemonetes pugio
14181,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-16,Palaemonetes sp.
14180,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-16,Palaemonetes vulgaris
14182,Barataria Bay Post-Katrina Fall 2005,KATBF-2005-16,Uca sp.
